twitch_login,twitch_url,player_name,region,player_albion_id,confidence
elpelotasssss,https://www.twitch.tv/elpelotasssss,Elpelotasssss,americas,-ZSdtOiPR7yoGB1F73kC4Q,confirmed
sadicaz,https://www.twitch.tv/sadicaz,sadicaz,americas,YL6lUUImSm2jy9v4M2QYig,confirmed
w0n23,https://www.twitch.tv/w0n23,w0n,americas,cVaX-y2GS5mNB_pD2fnmZg,confirmed
a_big_koko,https://www.twitch.tv/a_big_koko,KoKoS,europe,IQF3jIYWS1SBlqxBUlboXg,likely
murloka,https://www.twitch.tv/murloka,murloka,americas,HI2Ry35_TZytKTHqPH9AYA,confirmed
froggyjolson,https://www.twitch.tv/froggyjolson,FroggyJolson,europe,A5Nwkg4dQZehS6P5IoV-qw,confirmed
t666ommy,https://www.twitch.tv/t666ommy,t666ommy,americas,8L3A3LLjRWeqQ7F5NdlsBA,confirmed
whithblade,https://www.twitch.tv/whithblade,WHITHBLADE,americas,xX5NyFIfTxC5Dew2atmZSg,confirmed
ninuschk,https://www.twitch.tv/ninuschk,ninuschk,americas,qPCP9JdBTuSEVE_rhfTFEw,confirmed
zyfraraider,https://www.twitch.tv/zyfraraider,ZyfraRaider,americas,G1-ons0KQ-GPM024cDnzLg,confirmed
char1ynn,https://www.twitch.tv/char1ynn,Char1ynn,americas,u6uxqdH-Qyexhe7Il4qfjg,confirmed
eugengen,https://www.twitch.tv/eugengen,EugenGen,americas,L0fj6yi8RxmUrNDCVxVevw,confirmed
jaadezz,https://www.twitch.tv/jaadezz,Jaadezz,americas,lFv79r2WTo290H5vZDgYXQ,confirmed
mrxaco,https://www.twitch.tv/mrxaco,Mrxaco,europe,1PJLFBd6R_uXSiCWkAOc9Q,confirmed
summerseachels,https://www.twitch.tv/summerseachels,SummerSeaChels,asia,BqU7Gjj5RiqPSHn6Uqkbsw,confirmed
etlendo,https://www.twitch.tv/etlendo,Etlendo,europe,JlnmXsgSSJG1eq-QXrKFsA,confirmed
jackfyah,https://www.twitch.tv/jackfyah,JackFyah,americas,nRu3Xj-YRE6DWg2ZgTbNkg,confirmed
equart,https://www.twitch.tv/equart,Equart,europe,OGvsDMcDRH-1n_qeh5XGgg,confirmed
fakturka,https://www.twitch.tv/fakturka,Fakturka,americas,dgU_C4kfQYG725QtWxInDw,confirmed
nordake18,https://www.twitch.tv/nordake18,Nordake,americas,_NIz5izGSXymCYJV0tae_g,confirmed
daromtv,https://www.twitch.tv/daromtv,DAROMTV,europe,pdIbOfD1TACVykZjpqRduQ,confirmed
dreamthief,https://www.twitch.tv/dreamthief,DreamThief,americas,JRu2f4RsStCvt17uiKgkpg,confirmed
antonla11,https://www.twitch.tv/antonla11,Antonla11,europe,FufuA51WTUeEvEoDMJVJTg,confirmed
tbanj,https://www.twitch.tv/tbanj,TBanj,americas,JzEvSuCgSB6Jcpa68uD0UA,confirmed
boqqou,https://www.twitch.tv/boqqou,Boqqou,europe,QE0sqyAiRi-JSlZRSGqAxA,confirmed
mogdone,https://www.twitch.tv/mogdone,Mogdone,europe,F8EaBJMjT4a871LAiRx3dQ,confirmed
froztymon,https://www.twitch.tv/froztymon,Froztymon,americas,SR8r1IO8SEqpiVcYpTxPKA,confirmed
leagueofangel,https://www.twitch.tv/leagueofangel,LeagueOfAngel,americas,wpnO4G6nQtOmwnBwTEYwXg,confirmed
vikingo12888,https://www.twitch.tv/vikingo12888,VIKINGO12888,americas,_AvqHXwITqK7w__aKkEWew,confirmed
stdantewhale,https://www.twitch.tv/stdantewhale,StDanteWhale,europe,IDYOXrZcRpqK3t8SujeeWg,confirmed
trancetv1,https://www.twitch.tv/trancetv1,TranceTV1,americas,4gpkPPb-Qy6ObagW2S_sSg,confirmed
arreatregaro,https://www.twitch.tv/arreatregaro,ArreatRegaro,americas,5uTf3yUCTIKcpp2CztRKqw,confirmed
blackcraner,https://www.twitch.tv/blackcraner,BlackCraner,americas,9Pq3YfpxToKhig5mEbkM2w,confirmed
zeroxdeath,https://www.twitch.tv/zeroxdeath,ZeroXDeath,americas,l8s-_AGMS46616p2Fwmayw,confirmed
scribbleloops,https://www.twitch.tv/scribbleloops,Scribbleloops,asia,Vh7jIH2-TaS0dFkQNK1cRw,confirmed
v1tona,https://www.twitch.tv/v1tona,V1tona,americas,pCaafxqfR9iRBf415KZ4PA,confirmed
gemminys,https://www.twitch.tv/gemminys,Gemminys,americas,IN8UK0H5TvurB-uFnnXquQ,confirmed
