# Skipped: antonla11 (search hit was a different creator), leagueofangel (no channel found).
# jackfyah, nordake, and blackcraner use a different YouTube slug than their Twitch login.
youtube_handle,youtube_url,player_name,region,player_albion_id,confidence
elpelotasssss,https://www.youtube.com/@elpelotasssss,Elpelotasssss,americas,-ZSdtOiPR7yoGB1F73kC4Q,confirmed
sadicaz,https://www.youtube.com/@sadicaz,sadicaz,americas,YL6lUUImSm2jy9v4M2QYig,confirmed
w0n23,https://www.youtube.com/@w0n23,w0n,americas,cVaX-y2GS5mNB_pD2fnmZg,confirmed
a_big_koko,https://www.youtube.com/@a_big_koko,KoKoS,europe,IQF3jIYWS1SBlqxBUlboXg,likely
murloka,https://www.youtube.com/@murloka,murloka,americas,HI2Ry35_TZytKTHqPH9AYA,confirmed
froggyjolson,https://www.youtube.com/@froggyjolson,FroggyJolson,europe,A5Nwkg4dQZehS6P5IoV-qw,confirmed
t666ommy,https://www.youtube.com/@t666ommy,t666ommy,americas,8L3A3LLjRWeqQ7F5NdlsBA,confirmed
whithblade,https://www.youtube.com/@whithblade,WHITHBLADE,americas,xX5NyFIfTxC5Dew2atmZSg,confirmed
ninuschk,https://www.youtube.com/@ninuschk,ninuschk,americas,qPCP9JdBTuSEVE_rhfTFEw,confirmed
zyfraraider,https://www.youtube.com/@zyfraraider,ZyfraRaider,americas,G1-ons0KQ-GPM024cDnzLg,confirmed
char1ynn,https://www.youtube.com/@char1ynn,Char1ynn,americas,u6uxqdH-Qyexhe7Il4qfjg,confirmed
eugengen,https://www.youtube.com/@eugengen,EugenGen,americas,L0fj6yi8RxmUrNDCVxVevw,confirmed
jaadezz,https://www.youtube.com/@jaadezz,Jaadezz,americas,lFv79r2WTo290H5vZDgYXQ,confirmed
mrxaco,https://www.youtube.com/@mrxaco,Mrxaco,europe,1PJLFBd6R_uXSiCWkAOc9Q,confirmed
summerseachels,https://www.youtube.com/@summerseachels,SummerSeaChels,asia,BqU7Gjj5RiqPSHn6Uqkbsw,confirmed
etlendo,https://www.youtube.com/@etlendo,Etlendo,europe,JlnmXsgSSJG1eq-QXrKFsA,confirmed
jackfyahyt,https://www.youtube.com/@jackfyahyt,JackFyah,americas,nRu3Xj-YRE6DWg2ZgTbNkg,confirmed
equart,https://www.youtube.com/@equart,Equart,europe,OGvsDMcDRH-1n_qeh5XGgg,confirmed
fakturka,https://www.youtube.com/@fakturka,Fakturka,americas,dgU_C4kfQYG725QtWxInDw,confirmed
nordake,https://www.youtube.com/@nordake,Nordake,americas,_NIz5izGSXymCYJV0tae_g,confirmed
daromtv,https://www.youtube.com/@daromtv,DAROMTV,europe,pdIbOfD1TACVykZjpqRduQ,confirmed
dreamthief,https://www.youtube.com/@dreamthief,DreamThief,americas,JRu2f4RsStCvt17uiKgkpg,confirmed
tbanj,https://www.youtube.com/@tbanj,TBanj,americas,JzEvSuCgSB6Jcpa68uD0UA,confirmed
boqqou,https://www.youtube.com/@boqqou,Boqqou,europe,QE0sqyAiRi-JSlZRSGqAxA,confirmed
mogdone,https://www.youtube.com/@mogdone,Mogdone,europe,F8EaBJMjT4a871LAiRx3dQ,confirmed
froztymon,https://www.youtube.com/@froztymon,Froztymon,americas,SR8r1IO8SEqpiVcYpTxPKA,confirmed
vikingo12888,https://www.youtube.com/@vikingo12888,VIKINGO12888,americas,_AvqHXwITqK7w__aKkEWew,confirmed
stdantewhale,https://www.youtube.com/@stdantewhale,StDanteWhale,europe,IDYOXrZcRpqK3t8SujeeWg,confirmed
trancetv1,https://www.youtube.com/@trancetv1,TranceTV1,americas,4gpkPPb-Qy6ObagW2S_sSg,confirmed
arreatregaro,https://www.youtube.com/@arreatregaro,ArreatRegaro,americas,5uTf3yUCTIKcpp2CztRKqw,confirmed
blackcraneralbiononline,https://www.youtube.com/@blackcraneralbiononline,BlackCraner,americas,9Pq3YfpxToKhig5mEbkM2w,confirmed
zeroxdeath,https://www.youtube.com/@zeroxdeath,ZeroXDeath,americas,l8s-_AGMS46616p2Fwmayw,confirmed
scribbleloops,https://www.youtube.com/@scribbleloops,Scribbleloops,asia,Vh7jIH2-TaS0dFkQNK1cRw,confirmed
v1tona,https://www.youtube.com/@v1tona,V1tona,americas,pCaafxqfR9iRBf415KZ4PA,confirmed
gemminys,https://www.youtube.com/@gemminys,Gemminys,americas,IN8UK0H5TvurB-uFnnXquQ,confirmed
